participant ID,replicate,fermented,caffeine,sleep,distance,pet,weekend,plants,transportation
P1,A,other,0,7,2600,yes,mountains,1,BART
P1,B,other,0,7,2200,yes,mountains,1,BART
P1,C,,,,,,,,
P2,A,kimchi,3,8,1500,yes,other,2,car
P2,B,kimchi,3,9,1500,yes,other,2,car
P2,C,kimchi,3,9,1500,yes,other,2,car
P3,A,other,3,1,949,yes,mountains,0,car
P3,B,other,1,6,949,yes,mountains,0,car
P3,C,other,1,6,949,yes,mountains,0,car
P4,A,saurkraut,3,7.5,105,no,mountains,1,car
P4,B,saurkraut,3,7.5,105,no,mountains,1,car
P4,C,saurkraut,3,7.5,105,no,mountains,1,car
P5,A,yogurt,0,7,2800,no,city,3,bike
P5,B,kombucha,0,7,2100,no,city,3,bike
P5,C,kombucha,0,7,2800,no,other,3,bike
P6,A,yogurt,0,8,2000,no,home,1,BART
P6,B,yogurt,0,8,2000,no,home,0,BART
P6,C,,,,,,,,
P7,A,yogurt,1,9,300,yes,city,2,walk
P7,B,yogurt,1,8,300,yes,city,2,bus
P7,C,yogurt,,,,,,,
P8,A,other,2,6.5,0,no,forest,0,car
P8,B,other,2,6.5,0,no,forest,0,car
P8,C,kimchi,2,9.5,0,no,forest,0,car
P9,A,sourdough,2,5,1800,yes,home,1,BART
P9,B,sourdough,2,5,1800,yes,home,1,bus
P9,C,sourdough,2,5,1800,yes,home,1,bus
P10,A,cheese,0,8,360,no,beach,0,car
P10,B,cheese,0,8,360,no,beach,0,car
P10,C,cheese,0,8,360,no,beach,0,car